ID,Code,Name,Total FTEs,Total Revenue,Data Collection View,Region,Division,Industry Sector,Mapping Division,Note,Gamma,KT
162,2573,NRG,9498,12351,Total company,North America,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,AS,NA

163,2574,AutoLiv,28202,2395,Total company,Western Europe,Manufacturing,Transportation Equipment,Manufacturing,,AS,Mike Hague

164,2575,Nordic Capital,577,1685,Total company,Western Europe,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,Manufacturing,,AS,NA

165,2579,RHI AG (Austria),7311,1651,Total company,Western Europe,Manufacturing,"Stone, Clay, Glass, And Concrete Products",Manufacturing,,TD,NA

166,2580,Magnesita (Brasil),6728,891,Total company,South America,Manufacturing,"Stone, Clay, Glass, And Concrete Products",Manufacturing,,TD,NA

167,2582,EuroBank,9631,2063,Total company,Western Europe,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,AS,Aggeliki Mpini

168,2583,XL Axiata,2860,"2,13E+11",Total company,Southeast & Central Asia,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,AS,Leonard Setiawan

169,2585,FIRMENICH SA,6973,3303,Business unit/ Division: Functional organization,Western Europe,Manufacturing,Chemicals w/o Pharma,Manufacturing,,TD,NA

170,2586,Save The Children,24000,"30,2",Business unit/ Division: Country organization (geography),Industrialized Asia,Public Administration ,Nonclassifiable Establishments,Public Administration ,,TD,Cynan Houghton

171,2587,IHG,9667,1715,Total company,Western Europe,Services,"Hotels, Rooming Houses, Camps, And Other Lodging Places",Services,,AS,NA

172,2588,SCJ,11828,6738,Total company,North America,Manufacturing,Chemicals w/o Pharma,Manufacturing,,AS,NA

173,2592,K+S AKTIENGESELLSCHAFT,14905,"3743,8",Total company,Western Europe,Manufacturing,Chemicals w/o Pharma,Manufacturing,,AS,NA

174,2594,Confidential Utility,34296,31360,Total company,North America,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,TD,Sunny Kanneganti

175,2599,Telenor,33000,13400,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,NA

176,2600,ING-DiBA,3660,1995,Total company,Western Europe,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,TD,NA

177,2601,Juniper,9900,4890,Business unit/ Division: Functional organization,North America,Services,Business Services,Services,,TD,NA

178,2608,HMH,4970,1373,Business unit/ Division: Functional organization,North America,Services,Educational Services,Services,,AG,Richard Vosilla

179,2611,Singapore Airlines,14880,"11686,1",Total company,Industrialized Asia,Transportation & Communications & Electric & Gas & Sanitary Services,Transportation By Air,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,NA

180,2613,Merck,"3550,1",1555,Total company,Industrialized Asia,Manufacturing,Pharmaceuticals,Manufacturing,,AG,NA

181,2615,Singtel,3000,2380,Business unit/ Division: Country organization (geography),Industrialized Asia,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,AG,NA

182,2616,Foxtel,2280,3300,Total company,Australia & Oceania,Services,Motion Pictures,Services,,AG,Caroline Labour

183,2624,ELECTROLUX,55400,121000,Corporate center only,Western Europe,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,,TD,Rebecka Sjölander

184,2625,IKEA subsidiary,2329,695,Business unit/ Division: Product organization,Western Europe,Retail Trade,"Home Furniture, Furnishings, And Equipment Stores",Retail Trade,,AG,Lars Wild-Nordlund

185,2626,Getty Images,2800,860,Total company,North America,Services,Motion Pictures,Services,,AG,0

186,2627,Soberys,90000,24600,Corporate center only,North America,Retail Trade,Food Stores,Retail Trade,,TD,NA

187,2628,Aditya Birla Group,2260,60000,Business unit/ Division: Product organization,Southeast & Central Asia,Retail Trade,Apparel And Accessory Stores,Retail Trade,,AG,NA

188,2630,HOE,6381,1067,Corporate center only,Western Europe,Manufacturing,Transportation Equipment,Manufacturing,,AG,NA

189,2633,Heidelberg Druckmaschinen,10998,"2524,1",Total company,Western Europe,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,Manufacturing,,AG,NA

190,2636,Krungsri Bank,17500,49000,Business unit/ Division: Functional organization,Southeast & Central Asia,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,AG,Piyamarn Suwansri

191,2637,Körber Automation,"783,75",122.657,Total company,Western Europe,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,,AG,Christoph Veith

192,2638,Rolls Royce Power Systems – Entity,8957,3035,Total company,Western Europe,Manufacturing,Transportation Equipment,Manufacturing,,TD,NA

193,2640,Aricent,10505,625,Total company,Southeast & Central Asia,Services,Business Services,Services,,TD,NA

194,2641,Centrica,41661,28700,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,TD,Peter Goonajee

195,2642,MULLIEZ GROUP,"21829,9","6230,06",Corporate center only,Western Europe,Retail Trade,"Home Furniture, Furnishings, And Equipment Stores",Retail Trade,,TD,Eric Bechu

196,2643,MULLIEZ GROUP,"21829,9","6230,06",Total company,Western Europe,Retail Trade,"Home Furniture, Furnishings, And Equipment Stores",Retail Trade,,TD,Eric Bechu

197,2644,IKEA,101367,32500,Total company,Western Europe,Retail Trade,"Home Furniture, Furnishings, And Equipment Stores",Retail Trade,,TD,Thomas Jensen

198,2646,Cemex,52755,13403,Corporate center only,North America,Manufacturing,"Stone, Clay, Glass, And Concrete Products",Manufacturing,,TD,Germán Alvarado Paredes

199,2647,BHD Leon,4806,473.334,Total company,Caribbean,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,TD,NA

200,2648,Viettel Group,21303,11000,Total company,Southeast & Central Asia,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,Ms. Phuong

201,2650,TELEKOM SRBIJA,9099,127788,Total company,Eastern Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,AG,Tamara Vukmirovic

202,2651,NORD LB,4318,1643,Business unit/ Division: Functional organization,Western Europe,Finance & Insurance & Real Estate ,Non-depository Credit Institutions,Finance & Insurance & Real Estate ,,TD,NA

203,2652,American Tire Distrbutors,4430,4600,Total company,North America,Wholesale Trade,Wholesale Trade-durable Goods,Wholesale Trade,,TD,NA

204,2654,VIETTAL GROUP,50243,"2,50E+13",Corporate center only,Southeast & Central Asia,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,0,0

205,2655,AAA,4159,872,Total company,North America,Finance & Insurance & Real Estate ,Non-depository Credit Institutions,Finance & Insurance & Real Estate ,,TD,Sarah Swigart

206,2658,ENECO,2776,4282,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,AG,Joanne Zwueste

207,2659,Sibanye Gold,55409,31241,Total company,Africa,Mining,Metal Mining,Mining,,AG,Marietjie Lancaster

208,2662,Pandora,2139,1.437.337,Total company,North America,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,NA

209,2663,Tallink,6074,938,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Water Transportation,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,NA

210,2665,BMW,3518,2100,Total company,Western Europe,Manufacturing,Transportation Equipment,Manufacturing,,AG,NA

211,2673,Channel,6403,2700,Business unit/ Division: Country organization (geography),Industrialized Asia,Retail Trade,Apparel And Accessory Stores,Retail Trade,,AG,Steven Chau

212,2674,Citizens Bank,22675,5300,Total company,North America,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,AG,NA

213,2679,Coats Group,17030,1457,Total company,Western Europe,Manufacturing,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing,,TD,NA

214,2681,Ledvance,"8369,9",2000,Total company,Western Europe,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,,AG,NA

215,2682,Baker & McKenzie,11853,2670,Total company,North America,Services,Legal Services,Services,,AG,Jamie Lawless

216,2683,Aetna,"46937,68",60441,Total company,North America,Finance & Insurance & Real Estate ,Insurance Carriers,Finance & Insurance & Real Estate ,,TD,NA

217,2684,Citibank Mexico,510,180,Total company,North America,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,AG,NA

218,2685,Islamic Development Bank,900,955,Total company,Middle East,Finance & Insurance & Real Estate ,Non-depository Credit Institutions,Finance & Insurance & Real Estate ,,AG,NA

219,2686,South32,13900,6900,Total company,Australia & Oceania,Mining,Metal Mining,Mining,,AG,Lincoln Turvey

220,2693,Exact,1492,NULL,Total company,Western Europe,Services,Business Services,Services,,TD,Etienne Dutilh

221,2694,Metso Corporation,"704,8","77,6",Total company,Western Europe,Services,"Engineering, Accounting, Research, Management, And Related Services",Services,,AG,NA

222,2695,Acosta,21593,"1902,7",Total company,North America,Retail Trade,Food Stores,Retail Trade,,AG,NA

223,2696,OverheadCube,4000,380,Total company,Western Europe,Services,"Engineering, Accounting, Research, Management, And Related Services",Services,,AG,NA

224,2697,AEA Investors,10000,1300,Total company,North America,Finance & Insurance & Real Estate ,Amusement And Recreation Services,Services,Division and Industry sector mismatch,AG,NA

225,2698,NSW STATE GOVERNMENT,7000,7200,Corporate center only,Australia & Oceania,Public Administration ,Nonclassifiable Establishments,Public Administration ,,TD,NA

226,2699,DMK DEUTSCHES MILCHKONTOR GMBH,"655,57",175,Total company,Western Europe,Manufacturing,Food And Kindred Products,Manufacturing,,AG,Tanja Thomassen

227,2700,CONRAD ELECTRONIC GMBH,3636,1000,Total company,Western Europe,Retail Trade,"Home Furniture, Furnishings, And Equipment Stores",Retail Trade,,AG,NA

228,2701,Pandora Music Inc.,1972,1384,Total company,North America,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,NA

229,2702,MMI Holdings,18000,27000,Total company,Africa,Finance & Insurance & Real Estate ,"Insurance Agents, Brokers, And Service",Finance & Insurance & Real Estate ,,AG,Tharina de Wet

230,2703,Prudential,2673,"307,7",Total company,Western Europe,Manufacturing,Miscellaneous Manufacturing Industries,Manufacturing,,AG,NA

231,2705,Coats Group ,3531,133228,Business unit/ Division: Country organization (geography),South America,Manufacturing,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing,,AS,NA

232,2706,Amtrak,21644,"3447,9",Total company,North America,Transportation & Communications & Electric & Gas & Sanitary Services,Railroad Transportation,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,Pat Hayden

233,2709,Heidelberg Cement,1592,450,Business unit/ Division: Functional organization,Western Europe,Manufacturing,Miscellaneous Manufacturing Industries,Manufacturing,,AG,Roberto Tasca

234,2710,Energy Essential,"3060,68",1480,Total company,Australia & Oceania,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,TD,Brendon Neyland

235,2712,Sberbank,295000,20215,Total company,Eastern Europe,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,AG,Sergey Svyatoshenko

236,2713,Generali Group,63901,70513,Total company,Western Europe,Finance & Insurance & Real Estate ,Insurance Carriers,Finance & Insurance & Real Estate ,,AG,Luca Ascolese

237,2714,KPMG International,"5104,5",3.496.048,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,Division/Industry incorrect,AG,Karel Van Butsel

238,2719,Voith,19000,1170,Total company,Western Europe,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Manufacturing,,AG,0

239,2720,Nokia,101949,23614,Total company,Western Europe,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,Manufacturing,,AG,"Emma Nermes, Mari Kaukonen"

240,2721,PERMIRA PRIVATE EQUITY,880,191.807,Total company,Western Europe,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing,,AG,Simon Manz

241,2722,Navient,6650,4965,Total company,North America,Finance & Insurance & Real Estate ,Non-depository Credit Institutions,Finance & Insurance & Real Estate ,,AG,0

242,2725,Confidential,11218,4431,Total company,North America,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,AG,0

243,2727,SHAW COMMUNICATIONS INC,11800,4885,Total company,North America,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,AG,Tina

244,2728,Triton,2002,370,Total company,Western Europe,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,Manufacturing,,AG,NA

245,2730,Sonatrach,48597,3398000,Total company,Africa,Mining,Oil And Gas Extraction,Mining,,AG,NA

246,2731,PPC Limited,2087,419,Total company,Africa,Manufacturing,"Stone, Clay, Glass, And Concrete Products",Manufacturing,,AG,Vinnie Govender

247,2732,DVB (DZ Bank),"591,4",1025,Total company,Western Europe,Finance & Insurance & Real Estate ,Non-depository Credit Institutions,Finance & Insurance & Real Estate ,,AG,0

248,2733,Lonza AG,15000,5210,Total company,Western Europe,Manufacturing,Chemicals w/o Pharma,Manufacturing,,TD,0

249,2734,Lehigh Hanson,9908,5060,Total company,North America,Manufacturing,"Stone, Clay, Glass, And Concrete Products",Manufacturing,,TD,Lehigh Hanson

250,2735,KPMG,"5440,6",3.496.048,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,Division/Industry incorrect,TD,Karel Van Butsel

251,2736,Confidential- Food and Kindred Products,160,94,Total company,Western Europe,Agriculture & Forestry & Fishing,Agriculture production livestock and animal specialties,Agriculture & Forestry & Fishing,,AG,Chloé Caparros

252,2737,ARABIAN BEVERAGE COMPANY,1106,"36,5",Total company,Middle East,Manufacturing,Food And Kindred Products,Manufacturing,,AG,0

253,2739,Marsh & Mclennan,27957,6000,Total company,North America,Finance & Insurance & Real Estate ,"Insurance Agents, Brokers, And Service",Finance & Insurance & Real Estate ,,TD,TBC

254,2742,Ecopetrol,31620,"3,83E+13",Total company,South America,Mining,Oil And Gas Extraction,Mining,,AG,Lorenza Velez

255,2743,LEND LEASE ,13372,16644,Total company,Australia & Oceania,Construction,Building Construction General Contractors And Operative Builders,Construction,,AG,Valantis Vais

256,2744,Kone,50905,8784,Total company,Western Europe,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,Manufacturing,Duplicate,AG,0

257,2745,ABU DHABI NATIONAL OIL COMPANY,4611,1426,Total company,Middle East,Transportation & Communications & Electric & Gas & Sanitary Services,Water Transportation,Transportation & Communications & Electric & Gas & Sanitary Services,,AG,David Jansson

258,2746,Starbucks,8000,1125,Business unit/ Division: Country organization (geography),Western Europe,Retail Trade,Eating And Drinking Places,Retail Trade,,AG,Pilar Puig Cortada

259,2747,Siemens,14183,4000,Business unit/ Division: Product organization,Western Europe,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,,AG,Rainer Filitz / Lisa Hartmann

260,2749,Scandic Hotels Group,8543,14650,Total company,Western Europe,Services,"Hotels, Rooming Houses, Camps, And Other Lodging Places",Services,,AG,Natasha Löfvenberg

261,2751,CCC,2321,750,Total company,North America,Manufacturing,Rubber And Miscellaneous Plastics Products,Manufacturing,,TD,Rogier de Boer

262,2752,Central Bank of Turkey,3739,NULL,Total company,Eastern Europe,Public Administration ,"Public Finance, Taxation, And Monetary Policy",Public Administration ,,0,0

263,2753,Burger King,30,240,Business unit/ Division: Country organization (geography),Western Europe,Retail Trade,Food Stores,Retail Trade,,0,0

264,2755,Ricoh,23907,4483,Total company,North America,Services,Business Services,Services,,AG,Masaaki Ono

265,2757,ATOS – FI Services Subsidiary,1569,558,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,ABO,0

266,2758,NAB,27184,15729,Total company,Australia & Oceania,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,TD,Lorraine Murphy

267,2759,BNZ,5400,2100,Total company,Australia & Oceania,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,0,0

268,2760,Olympus,6400,1726,Business unit/ Division: Functional organization,Western Europe,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Manufacturing,,AS,Joachim Schmidt

269,2764,ROARK CAPITAL - INSPIRE BRANDS,77000,3700,Total company,North America,Retail Trade,Eating And Drinking Places,Retail Trade,,AG,Roman Berhe

270,2767,Miroglio,496,"477,6",Total company,Western Europe,Manufacturing,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Manufacturing,,ABO,Alice Bighinzoli

271,2768,Univision,4461,3040,Business unit/ Division: Functional organization,North America,Services,Motion Pictures,Services,,ABO,Melanie Chow

272,2771,HELLMANN LOGIST,10433,2515,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Motor Freight Transportation And Warehousing,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,Korbinian Gennies

273,2772,HSBC,12722,5000,Business unit/ Division: Country organization (geography),North America,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,TD,Marilou Sullivan

274,2773,Gannett,14509,3150,Total company,North America,Manufacturing,Paper And Allied Products,Manufacturing,,TD,0

275,2775,AUSNET SERVICES,2249,"1881,5",Total company,Australia & Oceania,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,TD,Jason Armishaw

276,2776,NORDSTROM,72500,15272,Corporate center only,North America,Retail Trade,Apparel And Accessory Stores,Retail Trade,,TD,0

277,2780,Confidential SPAIN,30000,5977,Corporate center only,Western Europe,Construction,Heavy Construction Other Than Building Construction Contractors,Construction,,AG,0

278,2781,DKV Spain,"769,47",604,Total company,Western Europe,Finance & Insurance & Real Estate ,Insurance Carriers,Finance & Insurance & Real Estate ,,TD,0

279,2782,NCR,40900,6500,Total company,North America,Services,Business Services,Services,,TD,Andrea Ledford

280,2783,ORANGINA SUNTO,"1171,5",675,Business unit/ Division: Functional organization,Western Europe,Manufacturing,Food And Kindred Products,Manufacturing,,AG,Anne Sophie Journu

281,2784,HCSC,21000,34500,Corporate center only,North America,Finance & Insurance & Real Estate ,Insurance Carriers,Finance & Insurance & Real Estate ,,TD,0

282,2785,Flying Tiger,4500,5159,Business unit/ Division: Functional organization,Western Europe,Retail Trade,Miscellaneous Retail,Retail Trade,,AG,William Elming

283,2786,ÖSTER. BUNDESBAHN,"40552,3","5569,16",Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Railroad Transportation,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,0

284,2787,Whirlpool,7687,3739,Total company,Western Europe,Wholesale Trade,Wholesale Trade-durable Goods,Wholesale Trade,,TD,0

285,2788,Millicom,15312,4083,Business unit/ Division: Country organization (geography),South America,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,Daniel Torras

286,2789,ETEX ,"945,2","206,08",Total company,Western Europe,Manufacturing,"Stone, Clay, Glass, And Concrete Products",Manufacturing,,AG,0

287,2790,LA POSTE FRANCE,176564,23294,Business unit/ Division: Product organization,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,United States Postal Service,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,Yves Arnaudo

288,2791,Elementia,7256,19090,Business unit/ Division: Functional organization,North America,Manufacturing,"Stone, Clay, Glass, And Concrete Products",Manufacturing,,TD,Jose Ramon Gomez

289,2792,Wesfarmers,12000,1220,Corporate center only,Western Europe,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",Retail Trade,,TD,0

290,2793,Covestro,"2676,1",7500,Business unit/ Division: Product organization,Western Europe,Manufacturing,Chemicals w/o Pharma,Manufacturing,,TD,Michael Bandlow

291,2794,Arqiva,2144,974,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,AG,Victoria Brough

292,2796,Stratasys,2800,670,Total company,Middle East,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,Manufacturing,,AG,Kyle Blank

293,2797,Esteve,2200,808,Total company,Western Europe,Manufacturing,Pharmaceuticals,Manufacturing,,TD,0

294,2798,Herman Miller,3514,1259,Business unit/ Division: Channel organization (distribution),North America,Manufacturing,Furniture And Fixtures,Manufacturing,,TD,0

295,2800,Endo Pharmaceuticals,2006,"3468,86",Total company,North America,Manufacturing,Pharmaceuticals,Manufacturing,,AG,Megan DeFauw

296,2801,Covestro,"17361,3",14138,Total company,Western Europe,Manufacturing,Chemicals w/o Pharma,Manufacturing,,TD,Andrea Maier-Richter

297,2802,Ternium,4086,1500,Business unit/ Division: Country organization (geography),South America,Manufacturing,Primary Metal Industries,Manufacturing,,AG,Luis Viana

298,2803,HEIDELBERGER DRUCKMASCHINEN,405,"65,65",Total company,North America,Services,Business Services,Services,,TD,Sascha Donat

299,2806,Bel Group,10758,3360,Total company,Western Europe,Manufacturing,Food And Kindred Products,Manufacturing,,TD,0

300,2807,HPW,"5266,6",3400,Total company,Australia & Oceania,Public Administration ,Administration Of Environmental Quality And Housing Programs,Public Administration ,,TD,0

301,2808,Felleskjøpet,2318,16500,Total company,Western Europe,Agriculture & Forestry & Fishing,Agricultural Services,Agriculture & Forestry & Fishing,,0,0

302,2810,UPL,6481,2100,Total company,Southeast & Central Asia,Manufacturing,Chemicals w/o Pharma,Manufacturing,,AS,0

303,2811,Valvoline,5500,2100,Corporate center only,North America,Manufacturing,Miscellaneous Retail,Retail Trade,Division and Industry sector mismatch,AS,0

304,2812,Fifth Third Bank,20165,7713,Total company,North America,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,TD,0

305,2813,HSH NORDBANK,"1418,3",619,Total company,Western Europe,Finance & Insurance & Real Estate ,Non-depository Credit Institutions,Finance & Insurance & Real Estate ,,TD,0

306,2814,BANK OF IRELAND,11000,3000,Total company,Western Europe,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,TD,Stuart Banks

307,2815,Vanguard,17000,5000,Corporate center only,North America,Finance & Insurance & Real Estate ,"Security And Commodity Brokers, Dealers, Exchanges, And Services",Finance & Insurance & Real Estate ,,TD,Vanguard

308,2816,Tru-Proj Odeon,1242,153,Corporate center only,Western Europe,Finance & Insurance & Real Estate ,Non-depository Credit Institutions,Finance & Insurance & Real Estate ,,AG,"Saar, Oren"

309,2820,Ravensburger,"2050,5","471,7",Total company,Western Europe,Wholesale Trade,Wholesale Trade-durable Goods,Wholesale Trade,,VG,Simone Peckhaus

310,2822,E.ON - CORPORATE CENTER,20017,NULL,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,"Electric, Gas, And Sanitary Services",Transportation & Communications & Electric & Gas & Sanitary Services,,AG,Andreas Ladda

311,2824,Bombardier,42339,16200,Total company,Western Europe,Manufacturing,Transportation Equipment,Manufacturing,,SD,Viola Eichhorn

312,2828,Yara Brazil,6596,3000,Business unit/ Division: Country organization (geography),South America,Manufacturing,Chemicals w/o Pharma,Manufacturing,,SD,Renato Castelo Branco

313,2829,FirstGroup,101301,5653,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Transportation Services,Transportation & Communications & Electric & Gas & Sanitary Services,,AG,0

314,2830,Chipotle Mexican Grill ,68890,4476,Corporate center only,North America,Retail Trade,Eating And Drinking Places,Retail Trade,,AS,Maxwell Simeon

315,2832,Endo Pharmaceuticals,2137,3469,Total company,North America,Manufacturing,Pharmaceuticals,Manufacturing,,SD,Laurie Burns

316,2833,Helsana,"2645,3",6390,Total company,Western Europe,Finance & Insurance & Real Estate ,Insurance Carriers,Finance & Insurance & Real Estate ,,SD,Sascha Lienhard

317,2834,CAN KGC,8881,3303,Total company,North America,Mining,Metal Mining,Mining,,SD,Gina Jardine

319,2837,Arla Foods,18990,10900,Total company,Western Europe,Manufacturing,Food And Kindred Products,Manufacturing,,AG,Dominic Field

320,2838,Lundbeck,905,1500,Business unit/ Division: Country organization (geography),North America,Manufacturing,Pharmaceuticals,Manufacturing,,SD,Giuliana Carozza

321,2839,Sasol,34723,172000,Total company,Africa,Manufacturing,Petroleum Refining And Related Industries,Manufacturing,,0,0

322,2841,Oman Oil Company,2620,5800,Total company,Middle East,Manufacturing,Petroleum Refining And Related Industries,Manufacturing,,0,0

323,2843,European Wax Center,3000,"535,5",Corporate center only,North America,Retail Trade,Miscellaneous Retail,Retail Trade,,0,0

324,2844,Telekom Malaysia,22111,3100,Total company,Southeast & Central Asia,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,0,0

325,2845,ABNAMRO Retail Banking Division,6214,3995,Business unit/ Division: Segment organization (customer),Western Europe,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,0,0

326,2846,Blue Wolf Home Care,9791,1100,Total company,North America,Services,Health Services,Services,,0,0

327,2847,CGG SA,5225,1320,Total company,Western Europe,Services,"Engineering, Accounting, Research, Management, And Related Services",Services,Correct: Oil And Gas Field Exploration Services,0,0

328,2848,STG,7997,"6463,5",Total company,Western Europe,Manufacturing,Tobacco Products,Manufacturing,,0,0

329,2849,Santander,9775,2702,Total company,North America,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,0,0

330,2850,Wipro,163000,8000,Total company,Southeast & Central Asia,Services,"Engineering, Accounting, Research, Management, And Related Services",Services,,0,0

331,2851,Outokumpu,10141,6363,Business unit/ Division: Functional organization,Western Europe,Manufacturing,Primary Metal Industries,Manufacturing,,0,0

332,2852,Prometeon ,7000,959,Corporate center only,Western Europe,Manufacturing,Rubber And Miscellaneous Plastics Products,Manufacturing,,0,0

333,2853,Hovione,1589,"288,6",Total company,Western Europe,Manufacturing,Pharmaceuticals,Manufacturing,,0,0

334,2855,Interprotección,605,1687,Total company,North America,Finance & Insurance & Real Estate ,"Insurance Agents, Brokers, And Service",Finance & Insurance & Real Estate ,,AG,Marcos Zedan

335,2856,AIG,4700,"3779,65",Business unit/ Division: Country organization (geography),Western Europe,Finance & Insurance & Real Estate ,Insurance Carriers,Finance & Insurance & Real Estate ,,0,0

336,2857,Pitney Bowes,13916,3550,Total company,North America,Services,Business Services,Services,,0,0

337,2859,BNP Paribas,15408,3677,Business unit/ Division: Country organization (geography),Western Europe,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,0,0

